季節,詳細季節,親季語,親季語よみがな,子季語,文字数,表示用子季語,季語の説明,分類
haru,三春,麗か,うららか,春うらら,4,うらら、うららけし、うららに、うらうら、麗日,春の陽光が穏やかに降り注ぎ、空も空気も万物も明るく輝いて見えるさま。光の柔らかさと長閑な春の景観を讃える言葉。,
haru,三春,朧月夜,おぼろづきよ,朧月夜,3,朧夜,春の夜、大気中の水蒸気によって月がぼんやりと潤み、柔らかくかすんで見える風情。艶やかで幻想的な春の夜の情緒を醸し出す。,時候
haru,三春,朧月夜,おぼろづきよ,朧夜,2,,春の夜、大気中の水蒸気によって月がぼんやりと潤み、柔らかくかすんで見える風情。艶やかで幻想的な春の夜の情緒を醸し出す。,時候
haru,三春,朧月夜,おぼろづきよ,おぼろ夜,4,,春の夜、大気中の水蒸気によって月がぼんやりと潤み、柔らかくかすんで見える風情。艶やかで幻想的な春の夜の情緒を醸し出す。,時候
haru,三春,木の芽時,このめどき,木の芽時,4,木の芽雨/木の芽晴/木の芽風/木の芽山/芽立前/木の芽冷え/芽立時,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,木の芽時,このめどき,木の芽雨,4,,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,木の芽時,このめどき,木の芽晴,4,,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,木の芽時,このめどき,木の芽風,4,,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,木の芽時,このめどき,木の芽山,4,,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,木の芽時,このめどき,芽立前,3,,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,木の芽時,このめどき,木の芽冷え,5,,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,木の芽時,このめどき,芽立時,3,,早春、草木が一斉に若芽を萌え出させる頃。生命の息吹とともに、季節の変わり目の不安定な気候や心の揺らぎを表すこともある。,時候
haru,三春,春暁,しゅんぎょう,春暁,2,春の曙、春の夜明、春の暁、春の朝明、春曙,春の夜明け。夜がほのぼのと明けゆく頃の清々しく柔らかな大気をいう。唐詩『春暁』の「春眠暁を覚えず」の風情に通じる。,時候
haru,三春,春暁,しゅんぎょう,春の曙,3,,春の夜明け。夜がほのぼのと明けゆく頃の清々しく柔らかな大気をいう。唐詩『春暁』の「春眠暁を覚えず」の風情に通じる。,時候
haru,三春,春暁,しゅんぎょう,春の暁,3,,春の夜明け。夜がほのぼのと明けゆく頃の清々しく柔らかな大気をいう。唐詩『春暁』の「春眠暁を覚えず」の風情に通じる。,時候
haru,三春,春暁,しゅんぎょう,春曉,2,,春の夜明け。夜がほのぼのと明けゆく頃の清々しく柔らかな大気をいう。唐詩『春暁』の「春眠暁を覚えず」の風情に通じる。,時候
haru,三春,春暁,しゅんぎょう,春曙,2,,春の夜明け。夜がほのぼのと明けゆく頃の清々しく柔らかな大気をいう。唐詩『春暁』の「春眠暁を覚えず」の風情に通じる。,時候
haru,三春,春暁,しゅんぎょう,春の朝明,4,,春の夜明け。夜がほのぼのと明けゆく頃の清々しく柔らかな大気をいう。唐詩『春暁』の「春眠暁を覚えず」の風情に通じる。,時候
haru,三春,春昼,しゅんちゅう,春昼,2,春の昼,春ののどかで明るい真昼のひととき。暖かな陽光の下、時間がゆったりと流れる静寂や、心地よい気だるさを詠み込む。,時候
haru,三春,春昼,しゅんちゅう,春晝,2,,春ののどかで明るい真昼のひととき。暖かな陽光の下、時間がゆったりと流れる静寂や、心地よい気だるさを詠み込む。,時候
haru,三春,春昼,しゅんちゅう,春の昼,3,,春ののどかで明るい真昼のひととき。暖かな陽光の下、時間がゆったりと流れる静寂や、心地よい気だるさを詠み込む。,時候
haru,三春,遅日,ちじつ,遅日,2,遅き日、暮遅し、暮れかぬる、夕長し、春日遅々,春になり、冬に比べて日暮れが目に見えて遅くなること。夕暮れの長さに春の深まりと名残惜しさを感じる情趣がある。,時候
haru,三春,遅日,ちじつ,遅き日,3,,春になり、冬に比べて日暮れが目に見えて遅くなること。夕暮れの長さに春の深まりと名残惜しさを感じる情趣がある。,時候
haru,三春,遅日,ちじつ,日遅し,3,,春になり、冬に比べて日暮れが目に見えて遅くなること。夕暮れの長さに春の深まりと名残惜しさを感じる情趣がある。,時候
haru,三春,遅日,ちじつ,暮遅し,3,,春になり、冬に比べて日暮れが目に見えて遅くなること。夕暮れの長さに春の深まりと名残惜しさを感じる情趣がある。,時候
haru,三春,遅日,ちじつ,暮れかぬる,5,,春になり、冬に比べて日暮れが目に見えて遅くなること。夕暮れの長さに春の深まりと名残惜しさを感じる情趣がある。,時候
haru,三春,遅日,ちじつ,夕長し,3,,春になり、冬に比べて日暮れが目に見えて遅くなること。夕暮れの長さに春の深まりと名残惜しさを感じる情趣がある。,時候
haru,三春,遅日,ちじつ,春日遅々,4,,春になり、冬に比べて日暮れが目に見えて遅くなること。夕暮れの長さに春の深まりと名残惜しさを感じる情趣がある。,時候
haru,三春,長閑,のどか,のどか,3,のどけし、のどやか、のどかさ、のんどり、駘蕩,春の光が満ち、風も穏やかで天地のすべてがのんびりと落ち着いているさま。平和で心豊かな春の気分を象徴する時候季語。,時候
haru,三春,長閑,のどか,のどけし,4,,春の光が満ち、風も穏やかで天地のすべてがのんびりと落ち着いているさま。平和で心豊かな春の気分を象徴する時候季語。,時候
haru,三春,長閑,のどか,長閑,2,,春の光が満ち、風も穏やかで天地のすべてがのんびりと落ち着いているさま。平和で心豊かな春の気分を象徴する時候季語。,時候
haru,三春,長閑,のどか,長閑さ,3,,春の光が満ち、風も穏やかで天地のすべてがのんびりと落ち着いているさま。平和で心豊かな春の気分を象徴する時候季語。,時候
haru,三春,長閑,のどか,のどやか,4,,春の光が満ち、風も穏やかで天地のすべてがのんびりと落ち着いているさま。平和で心豊かな春の気分を象徴する時候季語。,時候
haru,三春,春,はる,春,1,青春、芳春、陽春、東帝、青帝,立春から立夏前日までの三か月間。草木が萌え、生き物が躍動し、天地に温もりが満ちる四季の始まりの季節。,時候
haru,三春,春,はる,三春,2,,立春から立夏前日までの三か月間。草木が萌え、生き物が躍動し、天地に温もりが満ちる四季の始まりの季節。,時候
haru,三春,春,はる,九春,2,,立春から立夏前日までの三か月間。草木が萌え、生き物が躍動し、天地に温もりが満ちる四季の始まりの季節。,時候
haru,三春,春,はる,陽春,2,,立春から立夏前日までの三か月間。草木が萌え、生き物が躍動し、天地に温もりが満ちる四季の始まりの季節。,時候
haru,三春,春,はる,芳春,2,,立春から立夏前日までの三か月間。草木が萌え、生き物が躍動し、天地に温もりが満ちる四季の始まりの季節。,時候
haru,三春,春,はる,古今の春,4,,立春から立夏前日までの三か月間。草木が萌え、生き物が躍動し、天地に温もりが満ちる四季の始まりの季節。,時候
haru,三春,春,はる,今期の春,4,,立春から立夏前日までの三か月間。草木が萌え、生き物が躍動し、天地に温もりが満ちる四季の始まりの季節。,時候
haru,三春,春の朝,はるのあさ,春の朝,3,春朝/春あした,春の清々しく柔らかな朝の気配。冬の寒冷な朝と異なり、朝光のぬくもりや小鳥のさえずりに春の目覚めを感じさせる。,時候
haru,三春,春の朝,はるのあさ,春あした,4,,春の清々しく柔らかな朝の気配。冬の寒冷な朝と異なり、朝光のぬくもりや小鳥のさえずりに春の目覚めを感じさせる。,時候
haru,三春,春の朝,はるのあさ,春朝,2,,春の清々しく柔らかな朝の気配。冬の寒冷な朝と異なり、朝光のぬくもりや小鳥のさえずりに春の目覚めを感じさせる。,時候
haru,三春,春の暮,はるのくれ,春の暮,3,春暮,春の日の夕暮れ。または春という季節そのものの終わり（暮春）を指す。夕空の淡い色合いや去りゆく春への惜春の情を込める。,時候
haru,三春,春の暮,はるのくれ,春暮,2,,春の日の夕暮れ。または春という季節そのものの終わり（暮春）を指す。夕空の淡い色合いや去りゆく春への惜春の情を込める。,時候
haru,三春,春の暮,はるのくれ,はるのくれ,5,,春の日の夕暮れ。または春という季節そのものの終わり（暮春）を指す。夕空の淡い色合いや去りゆく春への惜春の情を込める。,時候
haru,三春,春の暮,はるのくれ,暮るる春,4,,春の日の夕暮れ。または春という季節そのものの終わり（暮春）を指す。夕空の淡い色合いや去りゆく春への惜春の情を込める。,時候
haru,三春,春の霜,はるのしも,春の霜,3,春霜,早春、寒の戻りによって降りる霜。冬の霜と異なり、朝の陽光を受けて淡く消えゆく儚さや、芽吹きを痛める春寒の情景を表す。,時候
haru,三春,春の霜,はるのしも,春霜,2,,早春、寒の戻りによって降りる霜。冬の霜と異なり、朝の陽光を受けて淡く消えゆく儚さや、芽吹きを痛める春寒の情景を表す。,時候
haru,三春,春日,はるひ,春日,2,春陽、春日影、春の朝日、春の夕日、春日向,春の一日、または春の柔らかな太陽の光のこと。のどかに照る春の陽射しや、ゆったりと過ぎゆく春の日々を詠む。,天文
haru,三春,春の日,はるのひ,春の朝日,4,,春の日の光、または春の一日のこと。冬を脱した明るい日差しや、うららかな一日の情景を優しく表現する。,時候
haru,三春,春の日,はるのひ,春の夕日,4,,春の日の光、または春の一日のこと。冬を脱した明るい日差しや、うららかな一日の情景を優しく表現する。,時候
haru,三春,春の日,はるのひ,春日向,3,,春の日の光、または春の一日のこと。冬を脱した明るい日差しや、うららかな一日の情景を優しく表現する。,時候
haru,三春,春の日,はるのひ,春陽,2,,春の日の光、または春の一日のこと。冬を脱した明るい日差しや、うららかな一日の情景を優しく表現する。,時候
haru,三春,春の夕,はるのゆうべ,春の夕,3,春夕/春薄暮,春の夕暮れ時の情緒。西空が柔らかに茜色に染まり、霞がたなびく中で次第に暮れゆく淡く静かな情景。,時候
haru,三春,春の夕,はるのゆうべ,春夕,2,,春の夕暮れ時の情緒。西空が柔らかに茜色に染まり、霞がたなびく中で次第に暮れゆく淡く静かな情景。,時候
haru,三春,春の夕,はるのゆうべ,春薄暮,3,,春の夕暮れ時の情緒。西空が柔らかに茜色に染まり、霞がたなびく中で次第に暮れゆく淡く静かな情景。,時候
haru,三春,春の夕,はるのゆうべ,春の夕べ,4,,春の夕暮れ時の情緒。西空が柔らかに茜色に染まり、霞がたなびく中で次第に暮れゆく淡く静かな情景。,時候
haru,三春,春の宵,はるのよい,春の宵,3,春宵、宵の春,春の日の入り後、まだ夜が深まりきらない宵の口。「春宵一刻値千金」と称されるように、華やかで風雅なひととき。,時候
haru,三春,春の宵,はるのよい,宵の春,3,,春の日の入り後、まだ夜が深まりきらない宵の口。「春宵一刻値千金」と称されるように、華やかで風雅なひととき。,時候
haru,三春,春の宵,はるのよい,春宵,2,,春の日の入り後、まだ夜が深まりきらない宵の口。「春宵一刻値千金」と称されるように、華やかで風雅なひととき。,時候
haru,三春,春の夜,はるのよ,春の夜,3,春夜、夜半の春,春の夜の風情。寒からず暑からず、どこか艶やかでしっとりとした潤いを含んだ情緒豊かな夜の雰囲気を表す。,時候
haru,三春,春の夜,はるのよ,夜半の春,4,,春の夜の風情。寒からず暑からず、どこか艶やかでしっとりとした潤いを含んだ情緒豊かな夜の雰囲気を表す。,時候
haru,三春,春の夜,はるのよ,春夜,2,,春の夜の風情。寒からず暑からず、どこか艶やかでしっとりとした潤いを含んだ情緒豊かな夜の雰囲気を表す。,時候
haru,三春,春日和,はるびより,春日和,3,春の日和,よく晴れたおだやかな春の天気。彼岸を過ぎると、冷たい季節風もおさまり、気温が上がり、暖かい地方では桜が咲き始める。春日和は長続きせず、三、四日で天気が崩れることが多い。,時候
haru,三春,春日和,はるびより,春の日和,4,,よく晴れたおだやかな春の天気。彼岸を過ぎると、冷たい季節風もおさまり、気温が上がり、暖かい地方では桜が咲き始める。春日和は長続きせず、三、四日で天気が崩れることが多い。,時候
haru,三春,日永,ひなが,日永,2,永日、永き日、日永し,春になり、昼の時間が伸びて来ることをいう。実際は夏のほうが春より日が長いが、心理的には冬に比べて、春は日が長く感じられる。,時候
haru,三春,日永,ひなが,永き日,3,,春になり、昼の時間が伸びて来ることをいう。実際は夏のほうが春より日が長いが、心理的には冬に比べて、春は日が長く感じられる。,時候
haru,三春,日永,ひなが,日の永し,4,,春になり、昼の時間が伸びて来ることをいう。実際は夏のほうが春より日が長いが、心理的には冬に比べて、春は日が長く感じられる。,時候
haru,三春,日永,ひなが,日の永き,4,,春になり、昼の時間が伸びて来ることをいう。実際は夏のほうが春より日が長いが、心理的には冬に比べて、春は日が長く感じられる。,時候
haru,三春,淡雪,あわゆき,淡雪,2,沫雪、泡雪、綿雪、かたびら雪、たびら雪、だんびら雪,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,沫雪,2,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,あわゆき,4,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,沫雪,2,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,泡雪,2,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,綿雪,2,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,かたびら雪,5,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,たびら雪,4,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,淡雪,あわゆき,だんびら雪,5,,春に降っては、たちまち消える雪のこと。地面におちたらすぐとけてしまう軽い雪片。,天文
haru,三春,朧,おぼろ,朧,1,草朧、岩朧、谷朧、灯朧、鐘朧、朧影、朧めく,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,草朧,2,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,岩朧,2,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,谷朧,2,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,おぼろ,3,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,灯朧,2,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,鐘朧,2,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,朧影,2,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧,おぼろ,朧めく,3,,春の夜、大気中の水蒸気によって月や星、景色がほの白くかすんで潤んで見える現象。昼の「霞」に対して夜の霞みを指す。,天文
haru,三春,朧月,おぼろづき,朧月,2,月朧、淡月,春の夜の朧な月をいう。澄んだ秋の月に対し、春の月は水蒸気のベールがかかったように見える。暈のかかることもある。,天文
haru,三春,朧月,おぼろづき,月朧,2,,春の夜の朧な月をいう。澄んだ秋の月に対し、春の月は水蒸気のベールがかかったように見える。暈のかかることもある。,天文
haru,三春,朧月,おぼろづき,淡月,2,,春の夜の朧な月をいう。澄んだ秋の月に対し、春の月は水蒸気のベールがかかったように見える。暈のかかることもある。,天文
haru,三春,朧月,おぼろづき,おぼろ月,4,,春の夜の朧な月をいう。澄んだ秋の月に対し、春の月は水蒸気のベールがかかったように見える。暈のかかることもある。,天文
haru,三春,陽炎,かげろう,陽炎,2,野馬、糸遊、遊糸、陽炎燃ゆ、陽焔、かげろひ、かぎろひ,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,かげろふ,4,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,野馬,2,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,糸遊,2,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,遊糸,2,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,陽炎燃ゆ,4,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,陽焔,2,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,かげろひ,4,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,かぎろひ,4,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,糸遊,2,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,陽炎,かげろう,遊糸,2,,春の暖かな日、地面が熱せられて上昇気流が生じ、空気が揺らめいて見える現象。野原や路上の春らしい情景。,天文
haru,三春,霞,かすみ,霞,1,朝霞、昼霞、夕霞、春霞、草霞、霞の海、霞の衣、霞棚引く,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,遠霞,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,朝霞,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,昼霞,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,夕霞,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,夕がすみ,4,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,春霞,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,草霞,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,霞の海,3,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,霞の衣,3,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,霞棚引く,4,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,かすみ,3,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,かすむ,3,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,薄霞,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,霞,かすみ,霞む,2,,春の昼間、大気中に微粒子や水蒸気が漂い、遠くの景色がぼんやりとかすんで見える現象。春の幻想的な景観の代表格。,天文
haru,三春,風光る,かぜひかる,風光る,3,光風,春風がきらきらと光り輝くように感じられることをいう。陽光の踊るような明るさに、風にゆらぐ景色もまばゆい。春の到来のよろこびや希望を、吹く風に託した言葉。,天文
haru,三春,風光る,かぜひかる,風ひかる,4,,春風がきらきらと光り輝くように感じられることをいう。陽光の踊るような明るさに、風にゆらぐ景色もまばゆい。春の到来のよろこびや希望を、吹く風に託した言葉。,天文
haru,三春,風光る,かぜひかる,光風,2,,春風がきらきらと光り輝くように感じられることをいう。陽光の踊るような明るさに、風にゆらぐ景色もまばゆい。春の到来のよろこびや希望を、吹く風に託した言葉。,天文
haru,三春,風光る,かぜひかる,光る風,3,,春風がきらきらと光り輝くように感じられることをいう。陽光の踊るような明るさに、風にゆらぐ景色もまばゆい。春の到来のよろこびや希望を、吹く風に託した言葉。,天文
haru,三春,鐘霞む,かねかすむ,鐘霞む,3,,春の霞んだ空気の中、遠くの寺の梵鐘の音が柔らかくこもって聞こえる風情。聴覚を通した春の長閑さの表現。,天文
haru,三春,鐘霞む,かねかすむ,霞む鐘,3,,春の霞んだ空気の中、遠くの寺の梵鐘の音が柔らかくこもって聞こえる風情。聴覚を通した春の長閑さの表現。,天文
haru,三春,東風,こち,東風,2,朝東風、夕東風、強東風、雲雀東風、あめ東風、いなだ東風、鰆東風、梅東風、桜東風,春に吹く東風。冬型の西高東低の気圧配置が崩れ、太平洋から大陸へ吹く。温かい風で雪を解かし、梅の花を咲かせるが、ときに、強風となって時化を呼ぶ風でもある。,天文
haru,三春,東風,こち,強東風,3,,春に吹く東風。冬型の西高東低の気圧配置が崩れ、太平洋から大陸へ吹く。温かい風で雪を解かし、梅の花を咲かせるが、ときに、強風となって時化を呼ぶ風でもある。,天文
haru,三春,東風,こち,雲雀東風,4,,春に吹く東風。冬型の西高東低の気圧配置が崩れ、太平洋から大陸へ吹く。温かい風で雪を解かし、梅の花を咲かせるが、ときに、強風となって時化を呼ぶ風でもある。,天文
haru,三春,東風,こち,鰆東風,3,,春に吹く東風。冬型の西高東低の気圧配置が崩れ、太平洋から大陸へ吹く。温かい風で雪を解かし、梅の花を咲かせるが、ときに、強風となって時化を呼ぶ風でもある。,天文
haru,三春,東風,こち,梅東風,3,,春に吹く東風。冬型の西高東低の気圧配置が崩れ、太平洋から大陸へ吹く。温かい風で雪を解かし、梅の花を咲かせるが、ときに、強風となって時化を呼ぶ風でもある。,天文
haru,三春,東風,こち,正東風,3,,春に吹く東風。冬型の西高東低の気圧配置が崩れ、太平洋から大陸へ吹く。温かい風で雪を解かし、梅の花を咲かせるが、ときに、強風となって時化を呼ぶ風でもある。,天文
haru,三春,佐保姫,さほひめ,佐保姫,3,,奈良の東にある佐保山、佐保川の女神で、春の野山の造化をつか さどるといわれる。秋の女神である竜田姫に対する。佐保姫は霞 の衣を織り、柳の糸を染め花を咲かせる女神としてうたわれる。,天文
haru,三春,春陰,しゅんいん,春陰,2,,春の空が薄暗く曇っていること。どんよりとした冬の曇りとは異なり、どこか暖かみを含んだしっとりとした薄曇りをいう。,天文
haru,三春,春陰,しゅんいん,春の陰,3,,春の空が薄暗く曇っていること。どんよりとした冬の曇りとは異なり、どこか暖かみを含んだしっとりとした薄曇りをいう。,天文
haru,三春,春光,しゅんこう,春光,2,春の色、春色、春望、春の匂、春景色、春景、春の光,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
haru,三春,春光,しゅんこう,春の色,3,,春の明るく輝かしい日差し、または春の美しい景色のこと。万物を生き生きと照らし出す春の光の美しさを讃える。,天文
